period,C,J,N,S
3/15/2020 23:45,0,0,0,0
3/16/2020 23:45,0,0,0,0
3/17/2020 23:45,0,0,0,0
3/18/2020 15:45,0.01,0.02,,0.03
3/18/2020 16:00,0.04,0.03,0.04,0.05
3/18/2020 16:15,0.03,0.04,0.03,0.02
3/18/2020 16:30,0.03,0.02,0.03,0.04
3/18/2020 16:45,0.04,0.04,0.04,0.04
3/18/2020 17:00,0.06,0.05,0.06,0.05
3/18/2020 17:15,0.04,0.05,0.06,0.04
3/18/2020 17:30,0.03,0.03,0.03,0.02
3/18/2020 17:45,0.03,0.03,0.03,0.02
3/18/2020 18:00,0.02,0.03,0.03,0.03
3/18/2020 18:15,0.04,0.02,0.04,0.02
3/18/2020 18:30,0.01,0.03,0.02,0.03
3/18/2020 18:45,0.02,0.01,0.01,0.01
3/18/2020 19:00,,0.01,0.01,
3/18/2020 19:15,0.01,,0.01,0.01
3/18/2020 23:45,0,0,0,0
3/19/2020 16:00,,0.01,,
3/19/2020 16:30,0.03,0.02,0.02,0.04
3/19/2020 16:45,0.06,0.04,0.05,0.03
3/19/2020 17:00,0.03,0.02,0.03,0.02
3/19/2020 17:15,0.02,0.03,0.03,0.02
3/19/2020 17:30,0.03,0.03,0.03,0.02
3/19/2020 17:45,0.03,0.03,0.04,0.03
3/19/2020 18:00,0.02,0.02,0.02,0.03
3/19/2020 18:15,0.1,0.06,0.08,0.09
3/19/2020 18:30,0.08,0.02,0.13,0.04
3/19/2020 18:45,0.01,0.02,0.01,0.01
3/19/2020 19:00,0.02,,0.01,0.01
3/19/2020 19:15,,,0.01,
3/19/2020 19:30,,0.01,,
3/19/2020 20:00,0.01,0.01,0.01,0.01
3/19/2020 21:00,0.01,0.01,,
3/19/2020 21:15,0.01,0.01,0.02,0.01
3/19/2020 23:45,0,0,0,0
3/20/2020 6:45,,0.01,,
3/20/2020 7:15,,0.01,0.01,
3/20/2020 23:45,0,0,0,0
3/21/2020 23:45,0,0,0,0
3/22/2020 21:00,,,0.01,0.01
3/22/2020 21:15,0.01,,0.01,
3/22/2020 21:30,,,,0.01
3/22/2020 21:45,0.01,,,
3/22/2020 22:15,,,,0.01
3/22/2020 22:30,0.01,,0.01,
3/22/2020 23:00,,,,0.01
3/22/2020 23:15,,,0.01,
3/22/2020 23:30,0.01,,,
3/22/2020 23:45,0,0,0,0
3/23/2020 0:30,0.01,,0.01,0.01
3/23/2020 1:00,0.01,,0.01,0.01
3/23/2020 1:15,,,0.01,0.01
3/23/2020 1:30,0.02,,0.02,0.01
3/23/2020 1:45,,,,0.01
3/23/2020 2:00,,,0.01,
3/23/2020 6:30,0.01,,,
3/23/2020 7:15,0.02,,0.02,0.01
3/23/2020 7:30,0.01,,0.02,0.01
3/23/2020 7:45,0.01,,,
3/23/2020 8:00,0.01,,0.01,
3/23/2020 9:45,,0.01,,
3/23/2020 10:00,,0.05,,
3/23/2020 10:15,,0.06,,
3/23/2020 10:30,,0.05,,
3/23/2020 10:45,,0.04,,
3/23/2020 23:45,0,0,0,0
3/24/2020 23:45,0,0,0,0
3/25/2020 23:45,0,0,0,0
3/26/2020 16:45,,0.01,,
3/26/2020 17:00,,,0.01,0.01
3/26/2020 17:15,0.01,0.01,,0.01
3/26/2020 17:30,0.01,0.01,0.02,0.02
3/26/2020 18:00,0.01,0.01,0.01,0.01
3/26/2020 18:15,0.03,0.03,0.02,0.04
3/26/2020 18:30,,,0.01,
3/26/2020 18:45,0.02,0.02,0.01,0.01
3/26/2020 19:00,0.02,0.02,0.03,0.01
3/26/2020 19:15,0.02,0.02,0.02,0.03
3/26/2020 19:30,0.02,0.02,0.02,
3/26/2020 19:45,0.01,0.01,0.01,0.02
3/26/2020 20:00,0.03,0.01,0.03,0.02
3/26/2020 20:15,0.01,0.01,0.02,0.01
3/26/2020 20:30,0.01,0.01,0.01,0.02
3/26/2020 20:45,0.01,0.01,,
3/26/2020 21:15,,,0.01,
3/26/2020 21:45,,0.01,,
3/26/2020 23:45,0,0,0,0
3/27/2020 22:30,,0.01,0.01,0.01
3/27/2020 22:45,0.02,0.01,0.02,0.01
3/27/2020 23:00,0.02,0.03,0.03,0.03
3/27/2020 23:15,0.04,0.03,0.03,0.03
3/27/2020 23:30,0.01,0.02,0.02,0.02
3/27/2020 23:45,0.02,0.01,0.01,0.03
3/28/2020 0:00,0.02,0.02,0.03,0.02
3/28/2020 0:15,0.01,0.02,0.02,0.01
3/28/2020 0:30,0.02,0.01,0.01,0.02
3/28/2020 0:45,0.04,0.06,0.05,0.04
3/28/2020 1:00,0.07,0.06,0.07,0.06
3/28/2020 1:15,0.04,0.04,0.06,0.05
3/28/2020 1:30,0.05,0.06,0.07,0.04
3/28/2020 1:45,0.03,0.04,0.05,0.04
3/28/2020 2:00,0.03,,0.04,0.01
3/28/2020 2:15,0.03,0.03,0.03,0.03
3/28/2020 2:30,,,0.01,0.05
3/28/2020 2:45,,0.01,,
3/28/2020 3:00,,,0.01,
3/28/2020 3:45,0.05,0.05,0.05,0.03
3/28/2020 4:00,0.04,0.02,0.02,0.05
3/28/2020 4:15,0.08,0.09,0.13,0.07
3/28/2020 4:30,0.02,0.02,0.02,0.02
3/28/2020 4:45,0.07,0.12,0.07,0.1
3/28/2020 5:00,0.12,0.04,0.1,0.1
3/28/2020 5:15,0.17,0.17,0.16,0.14
3/28/2020 5:30,0.47,0.49,0.37,0.28
3/28/2020 5:45,0.1,0.07,0.14,0.2
3/28/2020 6:00,0.02,0.02,0.03,0.04
3/28/2020 6:15,0.01,,0.01,
3/28/2020 7:00,0.01,0.01,0.01,0.01
3/28/2020 7:30,0.02,0.02,0.01,0.01
3/28/2020 7:45,0.02,0.02,0.03,0.01
3/28/2020 8:00,,,0.01,
3/28/2020 8:15,,0.01,,0.01
3/28/2020 8:30,0.05,0.05,0.05,0.05
3/28/2020 8:45,0.05,0.04,0.06,0.03
3/28/2020 9:00,0.01,0.01,0.01,0.01
3/28/2020 9:15,0.01,0.01,0.01,
3/28/2020 11:00,0.01,,0.01,
3/28/2020 12:45,0.01,0.01,0.01,0.01
3/28/2020 20:30,,0.01,,
3/28/2020 22:30,0.01,0.01,0.01,
3/28/2020 22:45,0.04,0.04,0.03,0.04
3/28/2020 23:00,0.04,0.01,0.06,0.03
3/28/2020 23:15,0.11,0.12,0.09,0.17
3/28/2020 23:30,0.05,0.02,0.04,0.02
3/28/2020 23:45,0.07,0.07,0.05,0.03
3/29/2020 0:00,0.03,0.02,0.06,0.08
3/29/2020 0:15,,,,0.01
3/29/2020 1:45,,,0.01,
3/29/2020 2:30,0.01,0.01,0.03,
3/29/2020 2:45,0.01,,,
3/29/2020 3:00,,0.01,,
3/29/2020 6:15,,,0.01,
3/29/2020 23:45,0,0,0,0
3/30/2020 23:45,0,0,0,0
3/31/2020 22:45,,0.01,,
3/31/2020 23:30,,0.01,,
3/31/2020 23:45,0,0,0,0
4/1/2020 4:15,,0.01,,
4/1/2020 23:45,0,0,0,0
4/2/2020 23:45,0,0,0,0
4/3/2020 23:45,0,0,0,0
4/4/2020 17:45,,0.01,,
4/4/2020 18:00,,,0.01,
4/4/2020 18:15,,0.01,0.02,
4/4/2020 18:30,0.01,,,
4/4/2020 18:45,,,0.01,0.01
4/4/2020 19:00,0.02,0.01,,0.01
4/4/2020 19:15,,,0.01,
4/4/2020 22:30,,0.01,,
4/4/2020 23:45,0,0,0,0
4/5/2020 23:45,0,0,0,0
4/6/2020 23:45,0,0,0,0
4/7/2020 3:45,,0.01,,
4/7/2020 4:45,0.01,,0.03,
4/7/2020 5:00,,0.01,0.03,
4/7/2020 6:00,,,,0.01
4/7/2020 6:30,,0.01,,
4/7/2020 6:45,,,0.01,
4/7/2020 8:00,,0.01,,
4/7/2020 8:15,,,0.01,
4/7/2020 8:30,0.01,,,
4/7/2020 8:45,,,0.01,
4/7/2020 9:30,0.01,0.01,0.02,0.01
4/7/2020 9:45,0.07,0.04,0.01,0.06
4/7/2020 10:00,,0.01,0.01,0.01
4/7/2020 10:15,0.01,0.01,0.02,
4/7/2020 20:00,0.06,0.26,0.12,0.05
4/7/2020 20:15,0.27,0.34,0.22,0.32
4/7/2020 20:30,0.23,0.2,0.21,0.21
4/7/2020 20:45,0.03,0.03,0.03,0.03
4/7/2020 21:00,0.07,0.09,0.05,0.08
4/7/2020 21:15,0.03,0.02,0.02,0.04
4/7/2020 21:30,0.01,0.01,0.01,
4/7/2020 23:45,0,0,0,0
4/8/2020 4:00,,,0.01,
4/8/2020 20:45,,0.01,,0.01
4/8/2020 21:00,0.02,0.02,0.02,0.02
4/8/2020 21:15,0.02,0.02,0.01,0.02
4/8/2020 21:30,,,,0.01
4/8/2020 22:00,,0.01,0.01,
4/8/2020 22:15,0.01,,0.01,
4/8/2020 22:30,,0.01,,0.01
4/8/2020 23:15,0.01,,0.01,
4/8/2020 23:30,,0.01,,
4/8/2020 23:45,0,0,0,0
4/9/2020 11:00,0.01,,0.02,
4/9/2020 11:15,,,,0.01
4/9/2020 11:30,,0.01,,
4/9/2020 11:45,0.01,,,
4/9/2020 18:00,,,,0.01
4/9/2020 19:45,,,,0.01
4/9/2020 23:45,0,0,0,0
4/10/2020 9:00,,0.01,,
4/10/2020 23:45,0,0,0,0
4/11/2020 23:45,0,0,0,0
4/12/2020 2:15,,0.01,,0.01
4/12/2020 2:30,0.01,,0.01,
4/12/2020 2:45,,0.01,0.01,0.01
4/12/2020 3:00,0.01,,,
4/12/2020 3:15,,0.01,0.01,
4/12/2020 3:30,0.01,0.01,0.01,0.01
4/12/2020 21:30,,0.01,,
4/12/2020 21:45,0.01,,0.01,0.01
4/12/2020 22:00,,0.01,0.01,0.01
4/12/2020 22:15,0.01,0.01,,0.01
4/12/2020 22:30,,0.01,0.01,
4/12/2020 22:45,0.01,,0.01,0.01
4/12/2020 23:00,0.02,0.02,0.01,0.02
4/12/2020 23:15,0.01,0.01,0.02,0.02
4/12/2020 23:30,0.01,0.01,0.01,0.01
4/12/2020 23:45,0.01,0.01,0.01,0.01
4/13/2020 0:30,,,0.01,
4/13/2020 0:45,0.01,,,0.02
4/13/2020 1:00,,0.01,0.01,
4/13/2020 1:30,,,0.01,
4/13/2020 1:45,,,,0.01
4/13/2020 2:15,,0.01,,
4/13/2020 3:00,,,0.01,0.01
4/13/2020 3:15,0.01,,0.01,
4/13/2020 3:30,,0.01,,0.01
4/13/2020 8:00,0.01,,0.01,0.01
4/13/2020 8:15,,,0.01,
4/13/2020 23:45,0,0,0,0
4/14/2020 23:45,0,0,0,0
4/15/2020 10:00,,0.01,0.01,
4/15/2020 11:00,,0.01,,
4/15/2020 11:30,,,0.02,0.01
4/15/2020 11:45,,0.01,,0.01
4/15/2020 12:00,0.01,0.01,,0.01
4/15/2020 12:15,,,0.01,0.01
4/15/2020 12:30,,,0.01,
4/15/2020 12:45,,0.01,,
4/15/2020 13:15,,0.01,,
4/15/2020 13:45,,,0.01,
4/15/2020 23:45,0,0,0,0
4/16/2020 23:45,0,0,0,0
4/17/2020 8:15,0.01,,,0.02
4/17/2020 8:30,0.01,,,0.01
4/17/2020 8:45,0.01,,,0.01
4/17/2020 9:00,0.01,,,0.01
4/17/2020 9:15,0.01,,,0.01
4/17/2020 9:30,,,,0.01
4/17/2020 9:45,0.01,,,0.01
4/17/2020 10:15,,,0.01,0.01
4/17/2020 10:30,0.01,,,0.01
4/17/2020 10:45,0.01,,0.02,0.01
4/17/2020 11:00,0.02,0.01,,0.02
4/17/2020 11:15,0.01,,0.03,0.01
4/17/2020 11:30,0.01,,0.03,
4/17/2020 11:45,,0.03,0.02,0.01
4/17/2020 12:00,,0.04,,
4/17/2020 12:15,,0.02,0.01,
4/17/2020 12:30,0.01,0.01,,
4/17/2020 12:45,0.01,0.01,0.02,0.01
