period,C,J,N,S
4/17/2020 13:00,,,0.02,
4/17/2020 13:15,0.01,0.01,0.01,0.01
4/17/2020 13:30,,,0.01,
4/17/2020 13:45,0.01,0.01,0.02,0.01
4/17/2020 14:00,,,0.01,
4/17/2020 14:15,0.01,0.03,0.01,
4/17/2020 14:30,,0.02,0.01,
4/17/2020 14:45,,0.01,0.01,0.01
4/17/2020 15:00,0.01,,,
4/17/2020 15:15,,0.01,,
4/17/2020 15:30,,0.01,0.01,
4/17/2020 15:45,,0.01,,
4/17/2020 16:00,0.01,0.01,,
4/17/2020 16:15,,0.01,,0.01
4/17/2020 16:30,,0.01,0.01,
4/17/2020 23:45,0,0,0,0
4/18/2020 23:45,0,0,0,0
4/19/2020 23:45,0,0,0,0
4/20/2020 23:00,,0.01,,
4/20/2020 23:15,0.04,0.03,0.04,0.06
4/20/2020 23:30,,0.01,0.01,0.01
4/20/2020 23:45,0,0,0,0
4/21/2020 0:00,0.02,0.02,0.01,0.01
4/21/2020 0:15,0.01,,,0.01
4/21/2020 0:45,,0.01,,
4/21/2020 1:00,,,0.01,
4/21/2020 23:45,0,0,0,0
4/22/2020 20:45,,0.01,,
4/22/2020 21:45,,,0.01,
4/22/2020 22:00,,,0.01,
4/22/2020 22:15,,,0.01,
4/22/2020 22:30,,,0.01,
4/22/2020 22:45,,0.01,,
4/22/2020 23:00,,0.02,,0.01
4/22/2020 23:15,0.02,0.02,0.01,0.01
4/22/2020 23:30,0.04,0.04,0.04,0.03
4/22/2020 23:45,0.01,0.02,0.03,0.02
4/23/2020 0:00,0.01,,0.01,
4/23/2020 0:15,,0.01,0.01,0.01
4/23/2020 0:45,0.01,0.01,,
4/23/2020 1:00,,0.01,,0.01
4/23/2020 1:15,,,0.01,0.01
4/23/2020 12:00,,0.01,,
4/23/2020 12:15,,,0.03,
4/23/2020 12:45,0.02,0.02,0.03,0.01
4/23/2020 13:00,,0.01,0.02,
4/23/2020 13:15,,,,0.01
4/23/2020 13:30,0.01,,0.01,
4/23/2020 23:45,0,0,0,0
4/24/2020 23:45,0,0,0,0
4/25/2020 23:45,0,0,0,0
4/26/2020 15:30,,,0.01,
4/26/2020 23:45,0,0,0,0
4/27/2020 20:30,,0.01,,
4/27/2020 21:30,,,,0.01
4/27/2020 21:45,,,0.01,
4/27/2020 22:45,,0.01,,
4/27/2020 23:15,,,0.01,
4/27/2020 23:45,0,0,0,0
4/28/2020 20:30,0.01,0.01,0.01,0.01
4/28/2020 23:45,0,0,0,0
4/29/2020 1:00,,0.01,,
4/29/2020 1:15,0.02,,0.02,0.02
4/29/2020 2:45,0.01,0.01,0.02,0.01
4/29/2020 3:00,,,,0.01
4/29/2020 5:15,,,0.04,0.03
4/29/2020 5:30,,,0.01,
4/29/2020 9:30,0.03,0.02,0.01,0.03
4/29/2020 9:45,0.02,0.03,0.03,0.02
4/29/2020 10:00,0.02,0.02,0.01,0.01
4/29/2020 10:15,,0.01,0.01,0.01
4/29/2020 10:30,0.01,,,
4/29/2020 11:30,0.03,0.03,0.02,0.04
4/29/2020 11:45,0.02,0.02,0.03,0.02
4/29/2020 12:00,,,0.01,
4/29/2020 12:45,0.01,,,
4/29/2020 14:00,,,0.01,
4/29/2020 23:45,0,0,0,0
4/30/2020 0:45,,0.01,,
4/30/2020 1:00,,,0.01,
4/30/2020 1:45,,0.01,,
4/30/2020 5:45,,0.05,,
4/30/2020 6:00,0.03,0.03,,0.03
4/30/2020 6:15,0.01,0.01,0.01,
4/30/2020 6:30,0.01,0.02,,
4/30/2020 6:45,,0.01,,
4/30/2020 8:00,,0.01,0.01,0.01
4/30/2020 8:15,0.02,,0.01,0.01
4/30/2020 8:30,,,0.02,0.01
4/30/2020 8:45,0.01,0.01,0.01,
4/30/2020 9:00,0.01,0.01,,0.01
4/30/2020 9:15,,,0.01,
4/30/2020 9:30,,0.01,,
4/30/2020 9:45,0.01,,,
4/30/2020 10:15,,0.01,0.01,
4/30/2020 11:00,0.01,,0.01,
4/30/2020 11:45,,0.01,,
4/30/2020 12:15,,,0.01,
4/30/2020 15:30,,,,0.01
4/30/2020 16:15,0.01,,0.01,0.01
4/30/2020 16:30,0.01,,0.01,
4/30/2020 16:45,0.01,0.02,0.01,0.02
4/30/2020 17:00,,,0.01,
4/30/2020 17:45,,,0.01,
4/30/2020 18:00,,0.01,0.01,
4/30/2020 18:15,0.01,0.02,0.01,0.01
4/30/2020 18:30,0.02,0.01,0.01,0.01
4/30/2020 18:45,0.02,,0.01,0.03
4/30/2020 19:00,0.01,0.01,0.03,0.03
4/30/2020 19:15,0.02,0.01,0.01,0.02
4/30/2020 19:30,0.01,,,
4/30/2020 19:45,,,0.01,0.01
4/30/2020 20:00,0.02,,0.01,0.02
4/30/2020 20:15,,0.01,0.01,0.01
4/30/2020 21:15,,,0.01,
4/30/2020 23:45,0,0,0,0
5/1/2020 12:45,,0.01,,
5/1/2020 23:45,0,0,0,0
5/2/2020 23:45,0,0,0,0
5/3/2020 23:45,0,0,0,0
5/4/2020 19:00,,,0.01,
5/4/2020 23:45,0,0,0,0
5/5/2020 23:45,0,0,0,0
5/6/2020 23:45,0,0,0,0
5/7/2020 23:45,0,0,0,0
5/8/2020 23:45,0,0,0,0
5/9/2020 23:45,0,0,0,0
5/10/2020 9:45,,0.01,,
5/10/2020 15:00,0.03,,0.01,
5/10/2020 15:15,,,0.08,0.02
5/10/2020 15:30,,0.01,,
5/10/2020 15:45,0.01,,,
5/10/2020 16:00,,,0.02,0.01
5/10/2020 16:30,0.01,0.01,,
5/10/2020 16:45,0.01,0.01,0.01,0.01
5/10/2020 17:00,,,0.02,0.01
5/10/2020 17:15,0.01,,0.01,0.02
5/10/2020 17:30,0.01,0.01,0.01,
5/10/2020 18:15,,0.01,,
5/10/2020 18:30,,0.01,,0.01
5/10/2020 18:45,0.02,0.04,0.01,
5/10/2020 19:00,0.09,0.02,0.02,
5/10/2020 19:15,,,0.01,0.02
5/10/2020 19:30,0.01,0.01,0.01,0.01
5/10/2020 19:45,,,0.01,
5/10/2020 20:00,0.01,0.02,0.02,0.01
5/10/2020 20:15,0.02,0.03,0.03,
5/10/2020 20:30,0.03,0.04,0.03,
5/10/2020 20:45,0.04,0.04,0.03,0.02
5/10/2020 21:00,0.02,0.04,0.02,0.02
5/10/2020 21:15,0.02,0.03,0.02,0.04
5/10/2020 21:30,0.02,0.02,0.03,0.03
5/10/2020 21:45,0.02,0.02,0.02,0.03
5/10/2020 22:00,0.02,0.02,0.01,0.02
5/10/2020 22:15,0.01,0.02,0.01,0.02
5/10/2020 22:30,0.02,0.02,0.02,0.02
5/10/2020 22:45,0.01,0.02,,0.01
5/10/2020 23:00,0.01,0.01,0.01,0.01
5/10/2020 23:15,0.01,0.01,0.01,
5/10/2020 23:30,,0.01,,0.01
5/10/2020 23:45,0.01,0,0.01,0
5/11/2020 0:00,,0.01,,0.01
5/11/2020 0:15,,,0.01,
5/11/2020 0:30,,0.01,0.01,0.01
5/11/2020 0:45,0.01,0.01,,
5/11/2020 23:45,0,0,0,0
5/12/2020 23:45,0,0,0,0
5/13/2020 23:45,0,0,0,0
5/14/2020 9:15,,,,0.03
5/14/2020 9:30,0.01,0.01,0.01,0.01
5/14/2020 9:45,0.18,0.18,0.22,0.08
5/14/2020 10:00,0.01,0.01,0.03,0.01
5/14/2020 10:15,0.08,0.05,0.04,0.01
5/14/2020 10:30,0.07,0.05,0.08,0.11
5/14/2020 10:45,,,0.01,0.01
5/14/2020 11:15,0.01,0.03,,0.01
5/14/2020 11:30,0.01,0.01,0.02,0.01
5/14/2020 11:45,0.03,0.04,0.03,0.06
5/14/2020 12:00,0.02,0.01,0.02,0.03
5/14/2020 12:15,,0.01,,
5/14/2020 12:30,,,0.01,
5/14/2020 13:00,0.01,0.02,0.01,
5/14/2020 13:15,0.01,0.01,0.01,0.01
5/14/2020 13:45,,0.01,,
5/14/2020 14:00,0.01,,0.01,0.01
5/14/2020 14:15,,,0.01,0.01
5/14/2020 14:30,,0.01,,
5/14/2020 23:45,0,0,0,0
5/15/2020 1:00,0.01,0.07,,0.09
5/15/2020 1:15,0.02,0.02,0.02,0.01
5/15/2020 1:30,0.02,0.04,0.03,0.02
5/15/2020 1:45,0.04,0.04,0.03,0.04
5/15/2020 2:00,0.04,0.04,0.05,0.04
5/15/2020 2:15,0.04,0.04,0.06,0.04
5/15/2020 2:30,0.03,0.04,0.03,0.04
5/15/2020 2:45,0.05,0.05,0.04,0.06
5/15/2020 3:00,0.02,0.06,0.03,0.05
5/15/2020 3:15,,0.01,0.01,
5/15/2020 3:30,0.1,0.02,0.11,0.02
5/15/2020 3:45,0.04,,0.06,0.01
5/15/2020 4:00,0.08,0.08,0.08,0.06
5/15/2020 4:15,0.04,0.08,0.05,0.07
5/15/2020 4:30,0.1,0.06,0.1,0.09
5/15/2020 4:45,,0.01,0.01,0.01
5/15/2020 5:00,0.01,0.01,0.01,0.02
5/15/2020 5:15,0.01,,0.02,0.01
5/15/2020 11:00,,0.01,,
5/15/2020 11:15,0.01,,0.01,0.01
5/15/2020 23:45,0,0,0,0
5/16/2020 23:45,0,0,0,0
5/17/2020 9:15,,0.01,,
5/17/2020 9:30,0.01,0.01,,0.02
5/17/2020 10:00,0.01,0.01,0.01,0.02
5/17/2020 10:15,0.03,0.02,0.04,0.02
5/17/2020 10:30,0.02,0.02,0.01,0.02
5/17/2020 10:45,0.01,0.02,0.01,0.01
5/17/2020 11:00,0.05,0.01,0.04,0.08
5/17/2020 11:15,0.03,0.01,0.04,0.01
5/17/2020 11:30,0.02,0.01,0.02,0.02
5/17/2020 11:45,,0.01,0.01,0.01
5/17/2020 12:00,0.01,,,0.01
5/17/2020 12:15,,,0.01,0.02
5/17/2020 12:30,0.01,,,
5/17/2020 18:30,,0.01,0.01,0.01
5/17/2020 18:45,0.01,,0.01,0.01
5/17/2020 19:00,0.01,0.02,0.01,
5/17/2020 19:15,0.03,0.02,0.01,0.02
5/17/2020 19:30,0.03,0.02,0.01,0.04
5/17/2020 19:45,,,0.01,
5/17/2020 20:15,,0.01,,
5/17/2020 20:30,0.01,,,
5/17/2020 20:45,0.01,0.03,,
5/17/2020 21:00,0.01,0.01,0.01,
5/17/2020 21:15,,,0.01,0.01
5/17/2020 21:45,0.01,,,0.01
5/17/2020 22:15,,0.01,,
5/17/2020 22:30,0.01,,0.01,
5/17/2020 23:15,,0.01,,
5/17/2020 23:45,0,0,0,0
5/18/2020 3:15,,,,0.01
5/18/2020 4:45,0.01,0.01,,0.01
5/18/2020 5:00,,,0.03,
5/18/2020 6:45,,0.02,0.04,0.01
5/18/2020 7:00,0.01,,0.03,
5/18/2020 7:45,,0.02,,
5/18/2020 8:45,0.02,0.03,,
5/18/2020 9:00,0.1,0.04,,0.06
5/18/2020 9:15,0.01,0.02,0.05,0.03
5/18/2020 9:30,0.02,0.03,0.16,0.02
5/18/2020 9:45,0.06,0.14,0.06,0.06
5/18/2020 10:00,0.11,0.16,0.14,0.08
5/18/2020 10:15,0.1,0.08,0.06,0.12
5/18/2020 10:30,0.06,0.06,0.07,0.03
5/18/2020 10:45,0.01,0.01,0.01,0.01
5/18/2020 12:45,,0.03,,
5/18/2020 13:00,0.11,0.17,,0.15
5/18/2020 13:15,0.2,0.23,0.1,0.12
5/18/2020 13:30,0.18,0.22,0.14,0.17
5/18/2020 13:45,0.25,0.2,0.13,0.18
5/18/2020 14:00,0.07,0.08,0.12,0.04
5/18/2020 14:15,0.02,0.02,0.02,0.02
5/18/2020 14:30,0.01,0.01,0.03,0.01
5/18/2020 14:45,0.01,,,
5/18/2020 15:30,,,0.01,
5/18/2020 16:00,,,0.01,0.01
5/18/2020 16:15,,0.01,0.01,
5/18/2020 17:00,0.01,0.01,,0.01
5/18/2020 17:15,0.03,,0.02,0.03
5/18/2020 17:30,,,0.01,
5/18/2020 17:45,0.01,,,0.01
5/18/2020 18:00,,,0.01,
5/18/2020 18:15,,,,0.01
5/18/2020 18:30,0.06,0.19,0.02,0.04
5/18/2020 18:45,,0.01,0.01,
5/18/2020 19:30,0.04,0.03,0.01,0.05
5/18/2020 19:45,0.03,0.07,0.04,0.02
5/18/2020 20:00,0.06,0.03,0.04,0.05
5/18/2020 20:15,0.07,0.04,0.06,0.13
5/18/2020 20:30,0.09,0.09,0.07,0.04
5/18/2020 20:45,0.06,0.1,0.05,0.05
5/18/2020 21:00,0.05,0.11,0.04,0.11
5/18/2020 21:15,0.08,0.14,0.03,0.06
5/18/2020 21:30,0.01,0.02,,0.01
5/18/2020 21:45,0.01,,0.02,
5/18/2020 22:00,,0.01,0.01,
5/18/2020 22:15,,,,0.01
5/18/2020 22:30,0.01,,,
5/18/2020 22:45,,,0.01,0.01
5/18/2020 23:00,0.01,,0.02,0.02
5/18/2020 23:15,0.04,0.04,0.04,0.04
5/18/2020 23:30,0.02,0.02,,0.01
5/18/2020 23:45,0,0,0,0
5/19/2020 0:30,,0.01,,
5/19/2020 1:00,,,,0.01
5/19/2020 1:30,,,0.01,
5/19/2020 2:45,,0.01,,
5/19/2020 6:15,,,,0.03
5/19/2020 6:45,0.01,,,
5/19/2020 8:00,,0.01,,
5/19/2020 23:45,0,0,0,0
5/20/2020 23:45,0,0,0,0
5/21/2020 23:45,0,0,0,0
5/22/2020 7:00,,,0.01,0.01
5/22/2020 7:15,,0.01,0.01,
5/22/2020 8:45,,,,0.01
5/22/2020 9:00,,0.01,0.01,
5/22/2020 9:30,,,,0.01
5/22/2020 13:15,0.01,,,
5/22/2020 14:00,,,0.01,
5/22/2020 23:45,0,0,0,0
5/23/2020 23:45,0,0,0,0
5/24/2020 23:45,0,0,0,0
5/25/2020 23:45,0,0,0,0
5/26/2020 19:00,,,0.02,
5/26/2020 23:45,0,0,0,0
5/27/2020 18:15,,,,0.01
5/27/2020 18:30,0.03,0.15,,0.05
5/27/2020 18:45,0.01,0.05,,
5/27/2020 19:45,,0.01,,
5/27/2020 23:45,0,0,0,0
5/28/2020 5:45,,0.01,,
5/28/2020 6:00,,,0.03,
5/28/2020 6:15,,,0.01,
5/28/2020 6:45,0.01,,0.02,
5/28/2020 7:45,,0.02,,0.03
5/28/2020 8:00,0.01,0.03,,0.02
5/28/2020 8:15,0.02,0.03,0.01,0.04
5/28/2020 8:30,0.04,0.05,0.01,0.04
5/28/2020 8:45,0.03,0.05,,0.01
5/28/2020 9:00,0.02,0.04,0.01,0.02
5/28/2020 9:15,0.03,0.02,0.01,
5/28/2020 10:15,0.01,,,
5/28/2020 17:00,0.01,0.06,,
5/28/2020 23:45,0,0,0,0
5/29/2020 12:00,0.01,0.01,,
5/29/2020 12:15,0.02,,0.01,0.03
5/29/2020 12:30,,,0.01,
5/29/2020 23:45,0,0,0,0
5/30/2020 23:45,0,0,0,0
5/31/2020 12:30,,,0.01,
5/31/2020 23:45,0,0,0,0
6/1/2020 20:30,,0.01,,0.01
6/1/2020 20:45,,,0.02,
6/1/2020 21:00,0.01,,0.01,0.01
6/1/2020 21:15,,0.01,,
6/1/2020 21:30,0.01,0.01,0.01,0.02
6/1/2020 21:45,0.01,0.01,0.01,
6/1/2020 22:00,0.03,0.03,0.03,0.03
6/1/2020 22:15,0.01,,0.02,0.01
6/1/2020 22:30,,,,0.01
6/1/2020 23:45,0,0,0,0
6/2/2020 23:45,0,0,0,0
6/3/2020 23:45,0,0,0,0
6/4/2020 23:45,0,0,0,0
6/5/2020 23:45,0,0,0,0
6/6/2020 23:45,0,0,0,0
6/7/2020 23:45,0,0,0,0
6/8/2020 23:45,0,0,0,0
6/9/2020 23:45,0,0,0,0
6/10/2020 15:45,0.01,0.11,0.02,
6/10/2020 16:00,0.07,0.17,0.05,0.03
6/10/2020 16:15,0.48,0.38,0.46,0.44
6/10/2020 16:30,0.14,0.02,0.13,0.09
6/10/2020 16:45,0.01,0.06,0.01,
6/10/2020 17:00,,0.01,,
6/10/2020 17:15,0.03,,0.06,0.1
6/10/2020 17:30,0.03,,0.04,0.02
