,1,4,6,7,8,10
2020-05-14 00:00:00,0.00020894324089434054,0.0008421000667368575,-0.04295732724742683,0.04674334281124408,0.04403778394275179,0.00989624737849517
2020-05-14 00:05:00,,,,,,
2020-05-14 00:10:00,-5.3857966791742186e-05,0.0008192462786828511,-0.04295536111257971,0.04671960774270709,0.04403063662547186,0.009897493345396028
2020-05-14 00:15:00,-5.23781960667781e-05,0.0007644157911448788,-0.04295092501925235,0.046695884726228085,0.04402349046819908,0.009898739469167814
2020-05-14 00:20:00,-5.047078908122938e-05,0.0006803293639789621,-0.042942962526641204,0.04667217375568736,0.04401634547074519,0.00989998574983028
2020-05-14 00:25:00,-4.892949792158978e-05,0.0005880798024985493,-0.04293052881533683,0.046648474824968277,0.04400920163292194,0.009901232187403177
2020-05-14 00:30:00,-4.752280800191454e-05,0.0005045927490884374,-0.04291278320112261,0.04662478792795734,0.04400205895454113,0.009902478781906263
2020-05-14 00:35:00,-4.6192033521728614e-05,0.0004349721249467588,-0.042888982062788024,0.04660111305854413,0.043994917435414574,0.009903725533359295
2020-05-14 00:40:00,-4.4933259145496306e-05,0.0003769385865503171,-0.042858472163417136,0.046577450210621346,0.04398777707535413,0.009904972441782033
2020-05-14 00:45:00,-4.3756407480711065e-05,0.00032659232415497094,-0.04282068434556279,0.04655379937808479,0.04398063787417169,0.00990621950719424
2020-05-14 00:50:00,-4.2671399672448496e-05,0.0002811922089390856,-0.042775127581625265,0.046530160554833354,0.043973499831679155,0.009907466729615682
2020-05-14 00:55:00,-4.168301641905393e-05,0.0002394955580743717,-0.04272138336162187,0.046506533734769026,0.04396636294768848,0.009908714109066127
2020-05-14 01:00:00,-4.0790015141588315e-05,0.0002011810043490399,-0.042659100401363156,0.0464829189117969,0.043959227222011635,0.009909961645565344
2020-05-14 01:05:00,-3.998614734994241e-05,0.0001662640755447633,-0.04258798965484323,0.04645931607982516,0.04395209265446063,0.009911209339133108
2020-05-14 01:10:00,-3.926176904710109e-05,0.00013476848906635556,-0.042507819615407824,0.04643572523276509,0.04394495924484751,0.009912457189789193
2020-05-14 01:15:00,-3.860541596788069e-05,0.00010661331021207523,-0.04241841189098544,0.04641214636453105,0.04393782699298432,0.009913705197553377
2020-05-14 01:20:00,-3.8005090186267924e-05,8.161308344344988e-05,-0.04231963703935522,0.04638857946904051,0.04393069589868317,0.00991495336244544
2020-05-14 01:25:00,-3.744919442540108e-05,5.9515615471661776e-05,-0.042211410650081535,0.04636502454021401,0.043923565961756186,0.009916201684485166
2020-05-14 01:30:00,-3.6927138626529256e-05,4.0040497408329704e-05,-0.04209368966037084,0.046341481571975186,0.04391643718201553,0.00991745016369234
2020-05-14 01:35:00,-3.642967783907477e-05,2.29064665818863e-05,-0.04196646889270215,0.04631795055825076,0.04390930955927339,0.00991869880008675
2020-05-14 01:40:00,-3.594904777637061e-05,7.847223205782651e-06,-0.04182977780264969,0.04629443149297054,0.043902183093341984,0.009919947593688186
2020-05-14 01:45:00,-3.5478958917227566e-05,-5.381129521088119e-06,-0.04168367742585614,0.04627092437006742,0.04389505778403356,0.009921196544516439
2020-05-14 01:50:00,-3.50144995776436e-05,-1.6997748919272467e-05,-0.041528257513628694,0.04624742918347735,0.043887933631160406,0.009922445652591308
2020-05-14 01:55:00,-3.4551986927646664e-05,-2.7197450060231725e-05,-0.04136363384711857,0.04622394592713939,0.04388081063453483,0.009923694917932588
2020-05-14 02:00:00,-3.408879439600153e-05,-3.615238091840475e-05,-0.041189945720509644,0.046200474594995655,0.04387368879396916,0.00992494434056008
2020-05-14 02:05:00,-3.362317506067492e-05,-4.4014172613211514e-05,-0.04100735358408423,0.046177015180991356,0.043866568109275784,0.009926193920493587
2020-05-14 02:10:00,-3.3154093634715603e-05,-5.091616023752801e-05,-0.04081603683845488,0.04615356767907476,0.0438594485802671,0.009927443657752916
2020-05-14 02:15:00,-3.2681074398626116e-05,-5.6975489888598386e-05,-0.04061619177165246,0.04613013208319722,0.04385233020675554,0.009928693552357872
2020-05-14 02:20:00,-3.220406864884976e-05,-6.22950404058571e-05,-0.04040802963114282,0.04610670838731315,0.04384521298855357,0.009929943604328266
2020-05-14 02:25:00,-3.1723342641808e-05,-6.696514241927671e-05,-0.04019177482320957,0.046083296585380046,0.04383809692547368,0.009931193813683912
2020-05-14 02:30:00,-3.123938534188744e-05,-7.106510127726873e-05,-0.03996766323248915,0.04605989667135846,0.04383098201732839,0.009932444180444623
2020-05-14 02:35:00,-3.075283429277694e-05,-7.466453977622402e-05,-0.03973594065477823,0.046036508639212013,0.04382386826393027,0.00993369470463022
2020-05-14 02:40:00,-3.0264417429464794e-05,-7.78245792507129e-05,-0.03949686133655361,0.0460131324829074,0.04381675566509189,0.00993494538626052
2020-05-14 02:45:00,-2.9774908478993473e-05,-8.059887732737614e-05,-0.03925068661495251,0.04598976819641437,0.04380964422062587,0.009936196225355349
2020-05-14 02:50:00,-2.9285093644466915e-05,-8.303453926909141e-05,-0.03899768365225681,0.04596641577370574,0.043802533930344854,0.009937447221934528
2020-05-14 02:55:00,-2.879574744246269e-05,-8.517291812528232e-05,-0.03873812425921061,0.04594307520875739,0.043795424794061524,0.00993869837601789
2020-05-14 03:00:00,-2.8307615807461673e-05,-8.70503171889297e-05,-0.03847228380177629,0.04591974649554825,0.04378831681158858,0.00993994968762526
2020-05-14 03:05:00,-2.7821404846180106e-05,-8.869860666678144e-05,-0.03820044018620135,0.04589642962806031,0.04378120998273877,0.009941201156776476
2020-05-14 03:10:00,-2.7337773892371077e-05,-9.014576503457268e-05,-0.0379228729175275,0.04587312460027861,0.04377410430732484,0.009942452783491368
2020-05-14 03:15:00,-2.6857331762214388e-05,-9.141635427612564e-05,-0.03763986222692516,0.04584983140619126,0.043766999785159605,0.009943704567789778
2020-05-14 03:20:00,-2.638063533284997e-05,-9.253193708291915e-05,-0.03735168826348138,0.045826550039789415,0.04375989641605589,0.009944956509691544
2020-05-14 03:25:00,-2.5908189758258657e-05,-9.351144310403787e-05,-0.03705863034630773,0.04580328049506728,0.04375279419982655,0.009946208609216509
2020-05-14 03:30:00,-2.54404497972591e-05,-9.437149046993609e-05,-0.03676096627306693,0.0457800227660221,0.04374569313628448,0.009947460866384518
2020-05-14 03:35:00,-2.4977821859724995e-05,-9.512666805287709e-05,-0.03645897168124353,0.0457567768466542,0.043738593225242595,0.009948713281215419
2020-05-14 03:40:00,-2.45206664822186e-05,-9.578978325936943e-05,-0.036152919458704774,0.0457335427309669,0.043731494466513844,0.009949965853729063
2020-05-14 03:45:00,-2.4069301026599568e-05,-9.63720795640435e-05,-0.035843079200312905,0.04571032041296661,0.04372439685991121,0.009951218583945301
2020-05-14 03:50:00,-2.3624002458405823e-05,-9.688342748018439e-05,-0.03552971670755945,0.045687109886662775,0.0437173004052477,0.009952471471883991
2020-05-14 03:55:00,-2.318501010932771e-05,-9.733249221077636e-05,-0.03521309352839598,0.04566391114606786,0.04371020510233635,0.009953724517564988
2020-05-14 04:00:00,-2.2752528363014963e-05,-9.772688082772072e-05,-0.03489346653463328,0.04564072418519739,0.04370311095099024,0.009954977721008153
2020-05-14 04:05:00,-2.232672922846046e-05,-9.807327147910795e-05,-0.03457108753447267,0.045617548998069926,0.04369601795102247,0.00995623108223335
2020-05-14 04:10:00,-2.1907754782569174e-05,-9.837752681912986e-05,-0.034246202917918446,0.04559438557870706,0.04368892610224617,0.009957484601260442
2020-05-14 04:15:00,-2.1495719475144243e-05,-9.86447935872176e-05,-0.03391905333299878,0.04557123392113343,0.043681835404474505,0.009958738278109298
2020-05-14 04:20:00,-2.109071229691091e-05,-9.88795900277233e-05,-0.033589873390894164,0.04554809401937669,0.04367474585752066,0.009959992112799788
2020-05-14 04:25:00,-2.069279881556437e-05,-9.908588263493178e-05,-0.03325889139823677,0.04552496586746755,0.04366765746119786,0.009961246105351785
2020-05-14 04:30:00,-2.030202308707558e-05,-9.926715352687456e-05,-0.03292632911500065,0.04550184945943973,0.04366057021531937,0.009962500255785165
2020-05-14 04:35:00,-1.9918409450357315e-05,-9.942645959225364e-05,-0.03259240153655165,0.045478744789330006,0.04365348411969846,0.009963754564119805
2020-05-14 04:40:00,-1.9541964213356695e-05,-9.956648441504685e-05,-0.032257316698566296,0.04545565185117815,0.04364639917414844,0.009965009030375584
2020-05-14 04:45:00,-1.9172677238111682e-05,-9.968958385870197e-05,-0.03192127550366114,0.04543257063902697,0.04363931537848267,0.009966263654572387
2020-05-14 04:50:00,-1.8810523431515502e-05,-9.979782608413418e-05,-0.0315844715686973,0.04540950114692231,0.04363223273251451,0.009967518436730096
2020-05-14 04:55:00,-1.8455464147673413e-05,-9.989302668120622e-05,-0.03124709109183949,0.04538644336891304,0.04362515123605737,0.009968773376868603
2020-05-14 05:00:00,-1.810744850689739e-05,-9.997677951037254e-05,-0.030909312738554105,0.045363397299051034,0.043618070888924686,0.009970028475007794
2020-05-14 05:05:00,-1.7766414635645933e-05,-0.0001000504837783115,-0.03057130754582723,0.045340362931391195,0.04361099169092992,0.009971283731167565
2020-05-14 05:10:00,-1.743229083109807e-05,-0.00010011536780740407,-0.030233238843970334,0.04531734025999145,0.043603913641886566,0.00997253914536781
2020-05-14 05:15:00,-1.7104996653563753e-05,-0.0001001725099027665,-0.02989526219545921,0.04529432927891274,0.04359683674160816,0.009973794717628427
